v1,v2
ham,"Hey, how are you?"
ham,I'm going to the college today.
spam,Congratulations! You have won a free prize. Call now!
ham,Can you call me when you are free?
spam,You have been selected for a cash reward. Claim now!
ham,What time is the meeting?
spam,URGENT! You have won a cash prize. Reply WIN now!
ham,I'll be home in 10 minutes.
ham,Don't forget to bring your assignment.
spam,Congratulations! You have won a FREE vacation!
ham,Are you coming to class tomorrow?
spam,You have won a lottery prize. Contact us immediately!
ham,Please send me the notes.
spam,FREE entry in our weekly competition. Text WIN to claim!
ham,"Good morning, have a nice day."
ham,Can you pick me up at 6?
spam,You are a lucky winner! Claim your reward now!
ham,I'll call you later.
spam,Exclusive offer! Get your free gift today!
ham,Did you finish the project?
ham,See you tomorrow.
spam,URGENT: Claim your free prize before it expires!
ham,Thanks for your message.
spam,You have been chosen for a special cash bonus!
ham,Let's meet at the library.
ham,Can you send me the project file?
spam,Win a brand new phone! Enter now and claim your prize.
ham,I will reach home by 8.
spam,Congratulations! You are today's lucky winner. Call now!
ham,Please remind me about the interview tomorrow.
ham,Where are you?
spam,Get a FREE reward by clicking this offer now!
ham,I'll meet you after lunch.
spam,You have won a guaranteed cash prize. Reply YES.
ham,"Thanks, I'll check it."
ham,Are you available for a call?
spam,Limited time offer! Claim your free gift today.
ham,Please submit the assignment before 5 PM.
spam,URGENT! Your reward is waiting. Claim immediately.
ham,"Good night, see you tomorrow."
spam,You are selected for a FREE cash reward. Call now.
ham,Can you share the notes with me?
spam,Congratulations! You won a shopping voucher. Claim now!
ham,I am on my way.
ham,Let's discuss the project tomorrow.
spam,Exclusive prize offer! Text WIN to receive your reward.
ham,Have you eaten lunch?
spam,You have been selected to receive a free bonus.
